"JobId","ComboKey","EAName","EAFilePath","Symbol","Timeframe","SplitName","SplitKind","FromDate","ToDate","Deposit","ParamsJson"
"1","LIVE50_1","04-EA_iChimoku_Cloud","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"2","LIVE50_2","AVA","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"3","LIVE50_3","CAP Breakout EA","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"4","LIVE50_4","CC GROW","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"5","LIVE50_5","CC V1","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"6","LIVE50_6","CC V1.2","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"7","LIVE50_7","CC V2.4.4","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"8","LIVE50_8","CC V2.5.2","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"9","LIVE50_9","CC V2.5.2.1","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"10","LIVE50_10","CEM BOT COPIER","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"11","LIVE50_11","CHEMICAL X V2","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"12","LIVE50_12","culture coin","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"13","LIVE50_13","CULTURE COIN V.1","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"14","LIVE50_14","CULTURE COIN V.2 (1)","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"15","LIVE50_15","DF 5.1","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"16","LIVE50_16","DF HIGHTOWER","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"17","LIVE50_17","DF HIGHTOWER V2","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"18","LIVE50_18","DF HIGHTOWER V3","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"19","LIVE50_19","DF KNOT","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"20","LIVE50_20","DF KNOT +AUTOFLIP","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"21","LIVE50_21","DF LADDER","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"22","LIVE50_22","DF LADDER - MOTION","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"23","LIVE50_23","DF LADDER - MOTION V3","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"24","LIVE50_24","DF LADDER- MOTION V2","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"25","LIVE50_25","DF LADDER RV","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"26","LIVE50_26","DF ORIGINAL","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"27","LIVE50_27","DF SAUCE","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"28","LIVE50_28","DF SAUCE 2.0","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"29","LIVE50_29","DF SAUCE FINAL","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"30","LIVE50_30","DF TREND GHOST","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"31","LIVE50_31","DF_HIGHTOWER_ADAPTIVE_V7","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"32","LIVE50_32","DF_HIGHTOWER_V10_FULL","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"33","LIVE50_33","DF_SAUCE","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"34","LIVE50_34","DF_Sauce_EA","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"35","LIVE50_35","DF_Sauce_EA_FIXED","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"36","LIVE50_36","DFHIGHTOWERV6","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"37","LIVE50_37","DJ VERSION - ULTIMATE PACKAGE (1) (1)","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"38","LIVE50_38","fxDreema","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"39","LIVE50_39","GOLDSETUP","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"40","LIVE50_40","HALO","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"41","LIVE50_41","IMB","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"42","LIVE50_42","Kingdom Manner","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"43","LIVE50_43","KINGDOM MANNER - ULTIMATE PACKAGE","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"44","LIVE50_44","KINGDOM MANNER - VERSION 3","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"45","LIVE50_45","KINGDOM MANNER - VERSION 4","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"46","LIVE50_46","Kingdom Manner + Scale","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"47","LIVE50_47","Kingdom Manner + Scale + Margin Close","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"48","LIVE50_48","MACD Sample","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"49","LIVE50_49","Manner","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"50","LIVE50_50","Moving Average","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"51","LIVE50_51","SORO","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"52","LIVE50_52","SORO + IMB SCALER","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
"53","LIVE50_53","Trade Panel Pro by RunwiseFX","","XAUUSD","M15","live_2024_2025","test","2024.01.01","2025.12.31","50","{}"
